ISO,pais,Migracion_2022,Criminalidad,PCorrupcion_2021,Desempleo_2021,PBI_2020,E2: Economic Inequality,EmisionesCO2,Paz,Catastrofe
AFG,Afghanistan,-0.1,7.08,16,13.2829999923706,-4.57503186436271,8.1,0.159824372036919,3.6,5
AGO,Angola,-0.19,5.29,29,8.52999973297119,-8.49308612116926,8.9,0.792137069457626,2.02499999999999,5
ALB,Albania,-3.23,5.63,35,11.8190002441406,-2.92582095677084,2.9,1.69224831964856,1.76899999999999,5
ARE,United Arab Emirates,-3.45,5.75,69,3.35800004005432,-7.2721729746159,3.3,19.3295632814807,1.89,5
ARG,Argentina,-0.08,4.38,38,10.9020004272461,-10.7651077297352,4.9,3.74065029063396,1.931,1
ARM,Armenia,-5.36,3.26,49,20.8969993591309,-7.57206052567307,3.6,2.08606067775467,2.016,5
AUS,Australia,6.93,4,73,5.11199998855591,-1.27852628341415,1.8,15.2382671504147,1.485,3
AUT,Austria,3.55,4.04,74,6.30100011825562,-7.12092796688751,2.3,7.2939842524557,1.318,5
AZE,Azerbaijan,0,5.08,30,6.58300018310547,-4.95270173869491,5.1,3.54239782750878,2.286,5
BDI,Burundi,7.09,4.51,19,1.79200005531311,-2.71202474070898,7.2,0.062442671221937,2.40899999999999,5
BEN,Benin,0.24,5.25,42,1.57400000095367,1.09009852710551,8.2,0.618583745834187,2.123,5
BFA,Burkina Faso,-0.61,5.49,42,4.75799989700317,-0.907160523079824,7.8,0.246046245966625,2.543,5
BGD,Bangladesh,-2.9,4.98,26,5.22900009155273,2.41585520198066,5.7,0.556529455394022,2.077,5
BGR,Bulgaria,-0.29,5.43,42,5.42399978637695,-3.81151594165073,3.8,5.61085727989368,1.562,5
BIH,Bosnia and Herzegovina,-0.38,5.89,35,15.2150001525879,-2.52329731867023,4.1,6.38291804321729,1.86,5
BLR,Belarus,0.72,5.08,41,4.73600006103516,-0.479446185047166,3.7,6.12223776544422,2.225,5
BOL,Bolivia,-0.98,4.3,30,8.50899982452393,-9.98822618143041,8.2,1.94039800503704,2.03799999999999,5
BRA,Brazil,-0.19,6.5,38,14.4029998779297,-4.56146250717985,7,2.05781083913756,2.454,3
BTN,Bhutan,0,3.69,68,4.33199977874756,-11.0690288351886,4.7,1.37597720898904,1.478,5
BWA,Botswana,2.81,3.71,55,24.7220001220703,-10.5864062902574,6.8,3.14710707065972,1.76499999999999,5
CAF,Central African Republic,-3.22,7.04,24,6.57499980926514,-0.867089761510869,9.6,0.0505776483111769,3.036,5
CAN,Canada,5.46,3.66,74,7.51000022888184,-6.31922236990395,2.3,15.4306128276297,1.325,5
CHE,Switzerland,4.52,4.34,84,5.32100009918213,-3.08540092497348,1.8,4.35904146198319,1.38399999999999,5
CHL,Chile,0.33,4.6,67,9.12800025939941,-6.78570273300585,5.1,4.82111829925293,1.798,4
CHN,China,-0.11,6.01,45,4.81699991226196,1.99661901386845,5.9,7.60593696057347,2.04999999999999,5
CIV,Cote d'Ivoire,1.18,6.15,36,3.46799993515015,-0.599377217026557,7.7,0.421129515397207,2.137,5
CMR,Cameroon,-0.31,6.31,27,3.86500000953674,-2.04245466490876,7.6,0.364424921654471,2.737,5
COD,Democratic Republic of the Congo,-0.71,7.75,19,5.42600011825562,-1.41205102844263,8.5,0.0369855862465028,3.161,5
COL,Colombia,-1.58,7.66,39,14.3360004425049,-8.04089850692667,6.4,1.60987083062336,2.737,5
CRI,Costa Rica,0.77,4.99,58,17.9540004730225,-4.92774721901968,4.7,1.63247155826708,1.715,5
CUB,Cuba,-2.92,3.44,46,2.75600004196167,-10.8943436642688,4.2,2.28614606482985,2.02,4
CYP,Cyprus,6.96,4.19,53,6.13000011444092,-6.05513512581433,4.9,5.99879528274471,1.91399999999999,5
CZE,Czechia,2.32,4.63,54,2.88700008392334,-6.02665654923183,2,9.02278615795801,1.331,5
DEU,Germany,1.78,4.9,80,3.53500008583069,-4.64754497642672,2.5,7.91162101567715,1.494,4
DJI,Djibouti,4.59,3.99,30,28.3859996795654,-0.277593603710244,7.3,0.431407700717039,2.099,5
DNK,Denmark,2.73,3.86,88,4.7979998588562,-2.34733603210697,1.2,5.10798850907958,1.29299999999999,4
DOM,Dominican Republic,-2.68,5.15,30,8.49600028991699,-7.65706090822447,4.9,2.53562795178678,1.97,5
DZA,Algeria,-0.82,4.51,33,12.7040004730225,-6.82696362311546,5.6,3.9776504588966,2.258,5
ECU,Ecuador,0,6.25,36,6.42700004577637,-9.19565622112371,6,2.26146981694915,2.023,5
EGY,Egypt,-0.31,5.16,33,9.32900047302246,1.59984859203273,5.1,2.48405991083232,2.487,5
ERI,Eritrea,-10.11,4.34,22,8.04699993133545,,8.3,0.251635846107416,2.551,5
ESP,Spain,4.35,5.78,61,14.7329998016357,-11.253266804126,2.9,5.09135092007508,1.641,4
EST,Estonia,-2.79,3.6,74,6.33099985122681,-3.14261531990262,2.6,7.67227790917304,1.56299999999999,5
