name;ISO 3;slug;value;date_of_information;ranking;region
Syria;SYR;syria;40.58;2022 est.;1;Middle East
South Sudan;SSD;south-sudan;20.97;2022 est.;2;Africa
Equatorial Guinea;GNQ;equatorial-guinea;13.96;2022 est.;3;Africa
Venezuela;VEN;venezuela;13.88;2022 est.;4;South America
British Virgin Islands;VGB;british-virgin-islands;13.56;2022 est.;5;Central America and the Caribbean
Cayman Islands;CYM;cayman-islands;12.56;2022 est.;6;Central America and the Caribbean
Luxembourg;LUX;luxembourg;12.01;2022 est.;7;Europe
Anguilla;AIA;anguilla;10.67;2022 est.;8;Central America and the Caribbean
Monaco;MCO;monaco;10.03;2022 est.;9;Europe
Turks and Caicos Islands;TCA;turks-and-caicos-islands;8.58;2022 est.;10;Central America and the Caribbean
Aruba;ABW;aruba;8.18;2022 est.;11;Central America and the Caribbean
Burundi;BDI;burundi;7.09;2022 est.;12;Africa
Cyprus;CYP;cyprus;6.96;2022 est.;13;Europe
Australia;AUS;australia;6.93;2022 est.;14;Australia and Oceania
San Marino;SMR;san-marino;6.11;2022 est.;15;Europe
South Georgia and South Sandwich Islands;SGS;south-georgia-and-south-sandwich-islands;5.9; est.;16;South America
New Zealand;NZL;new-zealand;5.83;2022 est.;17;Australia and Oceania
Sint Maarten;MAF;sint-maarten;5.83;2022 est.;18;Central America and the Caribbean
Saudi Arabia;SAU;saudi-arabia;5.52;2022 est.;19;Middle East
Malta;MLT;malta;5.49;2022 est.;20;Europe
Canada;CAN;canada;5.46;2022 est.;21;North America
Liechtenstein;LIE;liechtenstein;4.81;2022 est.;22;Europe
Isle of Man;IMN;isle-of-man;4.76;2022 est.;23;Europe
Djibouti;DJI;djibouti;4.59;2022 est.;24;Africa
Switzerland;CHE;switzerland;4.52;2022 est.;25;Europe
Belgium;BEL;belgium;4.38;2022 est.;26;Europe
Spain;ESP;spain;4.35;2022 est.;27;Europe
Singapore;SGP;singapore;4.22;2022 est.;28;East and Southeast Asia
Norway;NOR;norway;3.92;2022 est.;29;Europe
Ireland;IRL;ireland;3.79;2022 est.;30;Europe
Gabon;GAB;gabon;3.67;2022 est.;31;Africa
New Caledonia;NCL;new-caledonia;3.66;2022 est.;32;Australia and Oceania
Sweden;SWE;sweden;3.6;2022 est.;33;Europe
United Kingdom;GRB;united-kingdom;3.59;2022 est.;34;Europe
Austria;AUT;austria;3.55;2022 est.;35;Europe
Panama;PAN;panama;3.42;2022 est.;36;Central America and the Caribbean
Macau;MAC;macau;3.15;2022 est.;37;East and Southeast Asia
Italy;ITA;italy;3.02;2022 est.;38;Europe
United States;USA;united-states;3.02;2022 est.;39;North America
Iceland;ISL;iceland;2.89;2022 est.;40;Europe
Botswana;BWA;botswana;2.81;2022 est.;41;Africa
Denmark;DNK;denmark;2.73;2022 est.;42;Europe
KoreaSouth;COR;korea-south;2.63;2022 est.;43;East and Southeast Asia
Suriname;SUR;suriname;2.54;2022 est.;44;South America
Qatar;QAT;qatar;2.45;2022 est.;45;Middle East
Finland;FIN;finland;2.35;2022 est.;46;Europe
Czechia;CZE;czechia;2.32;2022 est.;47;Europe
Brunei;BRN;brunei;2.18;2022 est.;48;East and Southeast Asia
Antigua and Barbuda;ATG;antigua-and-barbuda;2.03;2022 est.;49;Central America and the Caribbean
Sierra Leone;SLE;sierra-leone;2.03;2022 est.;50;Africa
Israel;ISR;israel;2.02;2022 est.;51;Middle East
Netherlands;NLD;netherlands;1.9;2022 est.;52;Europe
Germany;DEU;germany;1.78;2022 est.;53;Europe
Jersey;JEY;jersey;1.76;2022 est.;54;Europe
Guernsey;GGY;guernsey;1.7;2022 est.;55;Europe
Russia;RUS;russia;1.7;2022 est.;56;Central Asia
Hong Kong;HKG;hong-kong;1.65;2022 est.;57;East and Southeast Asia
Slovenia;SVN;slovenia;1.54;2022 est.;58;Europe
Bermuda;BMU;bermuda;1.49;2022 est.;59;North America
Malaysia;MYS;malaysia;1.48;2022 est.;60;East and Southeast Asia
Hungary;HUN;hungary;1.23;2022 est.;61;Europe
Cote d'Ivoire;CIV;cote-divoire;1.18;2022 est.;62;Africa
Saint Kitts and Nevis;KNA;saint-kitts-and-nevis;1.16;2022 est.;63;Central America and the Caribbean
France;FRA;france;1.06;2022 est.;64;Europe
Greece;GRC;greece;1;2022 est.;65;Europe
Portugal;PRT;portugal;0.91;2022 est.;66;Europe
Seychelles;SYC;seychelles;0.86;2022 est.;67;Africa
Taiwan;TWN;taiwan;0.85;2022 est.;68;East and Southeast Asia
Costa Rica;CRI;costa-rica;0.77;2022 est.;69;I
Japan;JPN;japan;0.74;2022 est.;70;East and Southeast Asia
Belarus;BLR;belarus;0.72;2022 est.;71;Europe
Palau;PLW;palau;0.6;2022 est.;72;Australia and Oceania
Kazakhstan;KAZ;kazakhstan;0.39;2022 est.;73;Central Asia
North Macedonia;MKD;north-macedonia;0.38;2022 est.;74;Europe
Chile;CHL;chile;0.33;2022 est.;75;South America
Benin;BEN;benin;0.24;2022 est.;76;Africa
Zambia;ZMB;zambia;0.24;2022 est.;77;Africa
Slovakia;SVK;slovakia;0.2;2022 est.;78;Europe
India;IND;india;0.16;2022 est.;79;South Asia
Philippines;PHL;philippines;0.13;2022 est.;80;East and Southeast Asia
Georgia;GEO;georgia;0.06;2022 est.;81;Middle East
Andorra;AND;andorra;0;2022 est.;82;Europe
Azerbaijan;AZE;azerbaijan;0;2022 est.;83;Middle East
Bahamas The;BHS;bahamas-the;0;2022 est.;84;Central America and the Caribbean
Bhutan;BTN;bhutan;0;2022 est.;85;South Asia
CongoRepublic of the;COG;congo-republic-of-the;0;2022 est.;86;Africa
Ecuador;ECU;ecuador;0;2022 est.;87;South America
Faroe Islands;FRO;faroe-islands;0;2022 est.;88;Europe
Guinea;GIN;guinea;0;2022 est.;89;Africa
Madagascar;MDG;madagascar;0;2022 est.;90;Africa
Malawi;MWI;malawi;0;2022 est.;91;Africa
Mauritius;MUS;mauritius;0;2022 est.;92;Africa
Montserrat;MSR;montserrat;0;2022 est.;93;Central America and the Caribbean
Namibia;NAM;namibia;0;2022 est.;94;Africa
Papua New Guinea;PNG;papua-new-guinea;0;2022 est.;95;East and Southeast Asia
Saint Helena Ascension and Tristan da Cunha;SHN;saint-helena-ascension-and-tristan-da-cunha;0;2022 est.;96;Africa
Serbia;SRB;serbia;0;2022 est.;97;Europe
South Africa;ZAF;south-africa;0;2022 est.;98;Africa
Gambia The;GMB;gambia-the;-0.04;2022 est.;99;Africa
Korea North;PRK;korea-north;-0.04;2022 est.;100;East and Southeast Asia
Paraguay;PRY;paraguay;-0.07;2022 est.;101;South America
Argentina;ARG;argentina;-0.08;2022 est.;102;South America
Afghanistan;AFG;afghanistan;-0.1;2022 est.;103;South Asia
China;CHN;china;-0.11;2022 est.;104;East and Southeast Asia
Chad;TCD;chad;-0.13;2022 est.;105;Africa
Thailand;THA;thailand;-0.13;2022 est.;106;East and Southeast Asia
Ghana;GHA;ghana;-0.16;2022 est.;107;Africa
Angola;AGO;angola;-0.19;2022 est.;108;Africa
Brazil;BRA;brazil;-0.19;2022 est.;109;South America
Ethiopia;ETH;ethiopia;-0.19;2022 est.;110;Africa
Kenya;KEN;kenya;-0.19;2022 est.;111;Africa
Yemen;YEM;yemen;-0.19;2022 est.;112;Middle East
Nigeria;NGA;nigeria;-0.21;2022 est.;113;Africa
Vietnam;VNM;vietnam;-0.22;2022 est.;114;East and Southeast Asia
Ukraine;UKR;ukraine;-0.26;2022 est.;115;Europe
Barbados;BRB;barbados;-0.29;2022 est.;116;Central America and the Caribbean
Bulgaria;BGR;bulgaria;-0.29;2022 est.;117;Europe
Iran;IRN;iran;-0.3;2022 est.;118;Middle East
Cameroon;CMR;cameroon;-0.31;2022 est.;119;Africa
Egypt;EGY;egypt;-0.31;2022 est.;120;Africa
Poland;POL;poland;-0.33;2022 est.;121;Europe
Bosnia and Herzegovina;BIH;bosnia-and-herzegovina;-0.38;2022 est.;122;Europe
Tanzania;TZA;tanzania;-0.41;2022 est.;123;Africa
Oman;OMN;oman;-0.45;2022 est.;124;Middle East
Croatia;HRV;croatia;-0.5;2022 est.;125;Europe
Cabo Verde;CPV;cabo-verde;-0.57;2022 est.;126;Africa
Burkina Faso;BFA;burkina-faso;-0.61;2022 est.;127;Africa
French Polynesia;PYF;french-polynesia;-0.63;2022 est.;128;Australia and Oceania
Niger;NER;niger;-0.64;2022 est.;129;Africa
Paracel Islands;;paracel-islands;-0.66;2021 est.;130;East and Southeast Asia
Congo Democratic Republic of the;COD;congo-democratic-republic-of-the;-0.71;2022 est.;131;Africa
Indonesia;IDN;indonesia;-0.71;2022 est.;132;East and Southeast Asia
Senegal;SEN;senegal;-0.71;2022 est.;133;Africa
Mauritania;MRT;mauritania;-0.72;2022 est.;134;Africa
Peru;PER;peru;-0.75;2022 est.;135;South America
Mexico;MEX;mexico;-0.76;2022 est.;136;North America
Mongolia;MNG;mongolia;-0.77;2022 est.;137;East and Southeast Asia
Algeria;DZA;algeria;-0.82;2022 est.;138;Africa
Bahrain;BHR;bahrain;-0.82;2022 est.;139;Middle East
Iraq;IRQ;iraq;-0.83;2022 est.;140;Middle East
Uruguay;URY;uruguay;-0.88;2022 est.;141;South America
Lebanon;LBN;lebanon;-0.94;2022 est.;142;Middle East
Belize;BLZ;belize;-0.96;2022 est.;143;Central America and the Caribbean
Pakistan;PAK;pakistan;-0.96;2022 est.;144;South Asia
Bolivia;BOL;bolivia;-0.98;2022 est.;145;South America
Trinidad and Tobago;TTO;trinidad-and-tobago;-1.01;2022 est.;146;Central America and the Caribbean
Tajikistan;TJK;tajikistan;-1.03;2022 est.;147;Central Asia
Kosovo;XKX;kosovo;-1.07;2022 est.;148;Europe
Saint Lucia;LCA;saint-lucia;-1.09;2022 est.;149;Central America and the Caribbean
Laos;LAO;laos;-1.17;2022 est.;150;East and Southeast Asia
Sri Lanka;LKA;sri-lanka;-1.22;2022 est.;151;South Asia
Vanuatu;VUT;vanuatu;-1.3;2022 est.;152;Australia and Oceania
Curacao;CUW;curacao;-1.31;2022 est.;153;Central America and the Caribbean
Tunisia;TUN;tunisia;-1.33;2022 est.;154;Africa
Honduras;HND;honduras;-1.34;2022 est.;155;Central America and the Caribbean
Burma;;burma;-1.37;2022 est.;156;East and Southeast Asia
Turkey (Turkiye);TUR;turkey-turkiye;-1.54;2022 est.;157;Middle East
Solomon Islands;SLB;solomon-islands;-1.55;2022 est.;158;Australia and Oceania
Colombia;COL;colombia;-1.58;2022 est.;159;South America
Mozambique;MOZ;mozambique;-1.58;2022 est.;160;Africa
Libya;LBY;libya;-1.61;2022 est.;161;Africa
Guatemala;GTM;guatemala;-1.66;2022 est.;162;Central America and the Caribbean
Sudan;SDN;sudan;-1.67;2022 est.;163;Africa
Turkmenistan;TKM;turkmenistan;-1.71;2022 est.;164;Central Asia
Morocco;MAR;morocco;-1.74;2022 est.;165;Africa
Uzbekistan;UZB;uzbekistan;-1.78;2022 est.;166;Central Asia
Togo;TGO;togo;-1.81;2022 est.;167;Africa
Saint Barthelemy;BLM;saint-barthelemy;-1.83;2022 est.;168;Central America and the Caribbean
Haiti;HTI;haiti;-1.88;2022 est.;169;Central America and the Caribbean
Nicaragua;NIC;nicaragua;-2.15;2022 est.;170;Central America and the Caribbean
Somalia;SOM;somalia;-2.18;2022 est.;171;Africa
Comoros;COM;comoros;-2.25;2022 est.;172;Africa
Grenada;GRD;grenada;-2.43;2022 est.;173;Central America and the Caribbean
Dominican Republic;DOM;dominican-republic;-2.68;2022 est.;174;Central America and the Caribbean
Cambodia;KHM;cambodia;-2.7;2022 est.;175;East and Southeast Asia
Liberia;LBR;liberia;-2.74;2022 est.;176;Africa
Estonia;EST;estonia;-2.79;2022 est.;177;Europe
Kiribati;KIR;kiribati;-2.8;2022 est.;178;Australia and Oceania
Bangladesh;BGD;bangladesh;-2.9;2022 est.;179;South Asia
Cuba;CUB;cuba;-2.92;2022 est.;180;Central America and the Caribbean
Mali;MLI;mali;-3.08;2022 est.;181;Africa
Rwanda;RWA;rwanda;-3.21;2022 est.;182;Africa
Central African Republic;CAF;central-african-republic;-3.22;2022 est.;183;Africa
Albania;ALB;albania;-3.23;2022 est.;184;Europe
Gibraltar;GIB;gibraltar;-3.25;2022 est.;185;Europe
Uganda;UGA;uganda;-3.26;2022 est.;186;Africa
United Arab Emirates;ARE;united-arab-emirates;-3.45;2022 est.;187;Middle East
Guinea-Bissau;GNB;guinea-bissau;-3.63;2022 est.;188;Africa
Timor-Leste;TLS;timor-leste;-3.82;2022 est.;189;East and Southeast Asia
